         1          1        139
         1          1        262
         1          1        717
         2          2        155
         3          3         26
         3          3         56
         3          3        427
         3          3        448
         3          3        923
         4          4          0
         4          4        170
         4          4        242
         4          4        995
         5          5        143
         5          5        567
         5          5        710
         6          6        144
         6          6        149
         6          6        225
         6          6        639
         7          7        577
         7          7        690
         7          7        922
         7          7        966
         8          8        102
         8          8        481
         8          8        718
         8          8        868
         8          8        934
         9          9        116
         9          9        324
         9          9        368
         9          9        618
         9          9        619
         9          9        751
         9          9        867
        10         10        253
        10         10        319
        10         10        470
        10         10        518
        10         10        959
        11         11         32
        11         11        110
        11         11        185
        11         11        242
        11         11        355
        12         12        229
        12         12        342
        12         12        388
        12         12        445
        12         12        501
        12         12        512
        12         12        599
        12         12        939
        13         13        146
        13         13        186
        13         13        267
        13         13        271
        13         13        308
        13         13        526
        13         13        589
        13         13        733
        13         13        810
        13         13        864
        14         14         78
        14         14        221
        14         14        365
        14         14        500
        15         15         87
        15         15        143
        15         15        352
        15         15        524
        16         16        632
        17         17        141
        17         17        345
        17         17        390
        17         17        690
        18         18        297
        18         18        363
        18         18        524
        18         18        826
        18         18        959
        19         19        118
        19         19        144
        19         19        680
        19         19        789
        20         20        168
        20         20        186
        20         20        234
        20         20        384
        20         20        739
        20         20        816
        21         21        612
        21         21        801
        21         21        914
        22         22         31
        22         22         49
        22         22        441
        23         23        111
        23         23        115
        23         23        878
        24         24        285
        24         24        308
        24         24        498
        24         24        847
        25         25        117
        25         25        170
        25         25        891
        25         25        922
        26         26        184
        26         26        210
        26         26        507
        26         26        550
        26         26        755
        27         27         14
        27         27         26
        27         27        233
        27         27        308
        27         27        443
        27         27        653
        28         28         10
        28         28         36
        28         28         66
        28         28         87
        28         28         88
        28         28        110
        28         28        219
        28         28        265
        28         28        439
        28         28        549
        28         28        561
        28         28        664
        28         28        814
        28         28        893
        29         29         14
        29         29         38
        29         29        403
        29         29        445
        29         29        544
        29         29        739
        29         29        997
        30         30        194
        30         30        279
        30         30        376
        30         30        425
        30         30        470
        31         31        117
        31         31        416
        31         31        979
        32         32         49
        32         32        214
        32         32        778
        32         32        918
        32         32        980
        33         33         67
        33         33        288
        33         33        494
        33         33        543
        33         33        653
        33         33        732
        33         33        831
        33         33        910
        33         33        951
        33         33        985
        34         34         67
        34         34        154
        34         34        582
        35         35          0
        35         35        286
        35         35        600
        35         35        663
        35         35        850
        35         35        878
        35         35        945
        36         36         56
        36         36        191
        36         36        229
        36         36        294
        36         36        463
        36         36        542
        36         36        849
        36         36        917
        37         37        401
        37         37        607
        37         37        649
        37         37        663
        37         37        749
        37         37        788
        37         37        800
        38         38         48
        38         38        185
        38         38        269
        38         38        574
        38         38        959
        39         39         18
        39         39        210
        39         39        552
        39         39        720
        40         40         18
        40         40        120
        40         40        186
        40         40        218
        40         40        221
        40         40        292
        40         40        427
        40         40        598
        41         41        389
        41         41        477
        41         41        898
        42         42        288
        42         42        310
        42         42        346
        42         42        552
        42         42        786
        43         43        178
        43         43        504
        43         43        832
        43         43        932
        43         43        967
        44         44         60
        44         44        378
        44         44        427
        44         44        435
        44         44        544
        44         44        701
        45         45        322
        45         45        792
        46         46        425
        46         46        482
        46         46        599
        46         46        612
        46         46        750
        46         46        797
        47         47        111
        47         47        638
        47         47        690
        47         47        864
        47         47        880
        48         48         14
        48         48         16
        48         48         85
        48         48         86
        48         48        504
        48         48        599
        49         49        335
        49         49        668
        49         49        821
        49         49        829
        50         50        162
        50         50        189
        50         50        262
        50         50        292
        50         50        321
        50         50        359
        50         50        898
        51         51        262
        51         51        408
        51         51        555
        51         51        700
        51         51        797
        51         51        857
        51         51        878
        51         51        932
        52         52         32
        52         52        187
        52         52        194
